"papers_name","papers_url","papers_autor","papers_periodo"
"Reconocimiento fitosanitario en cinco variedades cultivadas de macadamia (Macadamia integrifolia Maiden et Betche) en la zona cafetera colombiana","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6755","Villegas García, C.","2005"
"Variação populacional de Phyllocnistis citrella e parasitismo em variedades de citros sob manejo orgánicoVariation of Phyllocnistis citrella population and parasitism in citrus cultivars under organic management","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6919","Efrom, Caio F.S.; Redaelli, Luiza R.; Diefenbach, Lúcia M.G.","2006"
"Las herramientas moleculares en el control biológico","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6483","Alvarez, J.M.; Menalled, F.; Hoy, M.A.","2005"
"Uso de trampas con kairomona para el manejo de la broca de la areca (Coccotrypes carpophagus)(Hormung) en la palmera Chrysalidocarpus lutescens var. areca","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6893","Villalobos, Ericka; Blanco Metzler, Helga","2006"
"Situación actual del manejo de las plagas de los cítiricos en Tamaulipas, México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6829","Ruíz C., Enrique; Coronado B., Juana M.A.; Myartseva, Svetlana.N.","2006"
"Respuesta funcional de Chrysoperla externa a Aphis gossypii en cultivares de algodón","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6782","Santos, T.M. dos; Junior, A.L.B.; Barbosa, J.C.","2005"
"Ewald Alfredo Favret: un eximio concertista en la sinfonía de los genes","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6297","Favret, E.","2005"
"Dr. Leslie R. Holdridge: la capacidad de crear a partir de lo cotidiano","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6086","Jiménez Saa, H.","2005"
"Enfermedades de las semillas de soja en Argentina","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6204","Gally, Teresa","2006"
"El ser humano y la economía de la naturaleza","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6189","Cure, José R.; Gutiérrez, Andrew P.","2006"
"Estudio exploratorio de los problemas de salud humana derivados del uso de plaguicidas en Bella Vista, Estado de México, México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6248","Oliva, M.; Rodríguez, J.C.; Silva, G.","2005"
"Las enfermedades del café: logros y desafíos para la caficultura colombiana del siglo XXI","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6479","Cadena Gómez, Gabriel; Gaitán Bustamante, Alvaro","2006"
"El efecto de prácticas agronómicas sobre el nivel poblacional de áfidos y virosis en Carica papaya L.","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6159","Robles, Wilfredo; Pantoja, Alberto; Abreu, Edwin; Peña, Jorge; Ortiz, Juan; Lugo, María de L.; Cortés, Mildred; Macchiavelli, Raúl","2006"
"Compatibilidad de Beauvearia bassiana con fenoxicarb","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5918","Vásquez, Carmen; Saldarriaga, Yamillé; Pineda, Fabio","2006"
"La diversidad de insectos en cítricos y su importancia en los programas de manejo integrado de plagas","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6451","León M, G.A.","2005"
"Evaluación de atrayentes alimenticios para la captura de la mosca mexicana de la fruta (Diptera: Tephritidae) en el Soconusco, Chiapas, México","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6256","Ríos, E.; Toledo, J.; Mota Sanchez, D.","2005"
"Interacción de Bacillus thuringiensis y otros entomopatógenos en el control de Spodoptera frugiperda","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6421","Polanczyk, R.A.; Alves, S.B.","2005"
"Control hidrotérmico de Colletotrichum gloeosporiodes Penz en mango (Mangifera indica L.)","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5972","Rondón, Olivier; Sanabria de Albarracín, Nelly; Rondón, Amado","2006"
"Abejas silvestres y polinización","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5728","Nates Parra, G.","2005"
"Inmersión y riego con vermicompost líquido de secciones de cormos del clon Dominico-Harton (Musa AAB)","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6412","Tremont, Omar; Mogollón, José P.; Martínez, Gustavo","2006"
"Depredación de Hypothenemus hampei por hormigas durante el secado solar del café","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6017","Vélez, Moisés; Bustillo, Alex E.; Posada, Francisco J.","2006"
"Distribución vertical de las orugas de Alabama argillacea (Hubner) (Lepidoptera: Noctuidae) en plantas de algodón","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6072","Fernandes, Marco Gino; Silva, Anderson Miguel; Degrande, Paulo Eduardo; Cubas, Antonio Carlos","2006"
"Abundância estacional de Myzus persicae (Sulzer), Brevicoryne brassicae (L.) e Lipaphis erysimi (Kalt.) (Hemiptera: Aphididae) na região nordeste do estado de São Paulo","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6794","Souza, Vanderlei de Paula; Cividanes, Francisco Jorge; Galli, Julio César","2006"
